,,,Value,Symbol
Tajikistan,Not treated municipal wastewater,14,4.548,I
Tajikistan,Treated municipal wastewater,18,0.1880857143,I
Tajikistan,Treated municipal wastewater discharged (secondary water),21,0.1522,I
Thailand,Produced municipal wastewater,1,5.11,
Thailand,Not treated municipal wastewater,6,3.942,
Thailand,Treated municipal wastewater,12,1.168,
The Bahamas,Desalinated water produced,3,0.0074,I
Trinidad and Tobago,Desalinated water produced,1,0.047,I
Tunisia,Desalinated water produced,3,0.0197,
Tunisia,Not treated municipal wastewater,13,0.063,I
Tunisia,Treated municipal wastewater discharged (secondary water),21,0.158,I
Tunisia,Not treated municipal wastewater discharged (secondary water),26,0.1,I
Tunisia,Direct use of not treated municipal wastewater for irrigation purposes,30,0.0466,I
Turkey,Desalinated water produced,3,0.0050333333,I
Turkey,Direct use of treated municipal wastewater,6,0.033,I
Turkey,Produced municipal wastewater,11,4.073,
Turkey,Treated municipal wastewater,20,3.257,
Turkey,Treated municipal wastewater discharged (secondary water),23,1.591,I
Turkmenistan,Desalinated water produced,1,0.0,I
Turkmenistan,Produced municipal wastewater,6,0.268,I
Turkmenistan,Treated municipal wastewater,10,0.336,I
Uganda,Produced municipal wastewater,0,0.0419,I
Ukraine,Produced municipal wastewater,1,1.7800833333,I
Ukraine,Not treated municipal wastewater,3,0.8392,I
Ukraine,Treated municipal wastewater,7,1.8,
United Arab Emirates,Desalinated water produced,3,1.819,
United Arab Emirates,Direct use of treated municipal wastewater,7,0.4083636364,I
United Arab Emirates,Produced municipal wastewater,12,0.5,I
United Arab Emirates,Not treated municipal wastewater,18,0.307,I
United Arab Emirates,Treated municipal wastewater,23,0.5603714286,I
United Arab Emirates,Treated municipal wastewater discharged (secondary water),27,0.047,
United Kingdom,Desalinated water produced,3,0.0333,I
United Kingdom,Direct use of treated municipal wastewater,6,0.164,I
United Kingdom,Produced municipal wastewater,10,4.089,I
United Kingdom,Collected municipal wastewater,14,4.048,I
United Kingdom,Not treated municipal wastewater,18,0.041,I
United Kingdom,Treated municipal wastewater,22,4.048,I
United Kingdom,Treated municipal wastewater discharged (secondary water),26,3.642,I
United Kingdom,Not treated municipal wastewater discharged (secondary water),30,0.003,I
United States of America,Desalinated water produced,3,0.58,I
United States of America,Direct use of treated municipal wastewater,9,2.774,I
United States of America,Produced municipal wastewater,12,60.41,I
United States of America,Collected municipal wastewater,15,47.24,I
United States of America,Not treated municipal wastewater,18,15.72,I
United States of America,Treated municipal wastewater discharged (secondary water),29,41.92,I
Uruguay,Produced municipal wastewater,0,0.1152,I
Uzbekistan,Produced municipal wastewater,0,0.3397,I
Venezuela,Desalinated water produced,2,0.0052,I
Venezuela,Produced municipal wastewater,8,2.903,I
Venezuela,Treated municipal wastewater,11,0.93,I
Viet Nam,Direct use of treated municipal wastewater,1,0.175,I
Viet Nam,Not treated municipal wastewater,9,1.775,
Viet Nam,Treated municipal wastewater,12,0.197,
Yemen,Desalinated water produced,3,0.0251,I
Yemen,Direct use of treated municipal wastewater,8,0.006,I
Yemen,Produced municipal wastewater,11,0.1315,I
Yemen,Treated municipal wastewater,17,0.046,I
Zambia,Produced municipal wastewater,0,0.1183,I
Zimbabwe,Not treated municipal wastewater,1,0.099,
Zimbabwe,Treated municipal wastewater,4,0.095,
