,,Year,Value,Symbol
Harvested irrigated temporary crop area: Wheat,Austria,2012,2.65,I
Harvested irrigated temporary crop area: Wheat,Austria,2017,2.65,I
Harvested irrigated temporary crop area: Wheat,Austria,2018,2.65,I
Harvested irrigated temporary crop area: Maize,Austria,1997,7.885,I
Harvested irrigated temporary crop area: Maize,Austria,2002,9.4475,I
Harvested irrigated temporary crop area: Maize,Austria,2007,7.872,I
Harvested irrigated temporary crop area: Maize,Austria,2012,7.4,I
Harvested irrigated temporary crop area: Maize,Austria,2017,7.4,I
Harvested irrigated temporary crop area: Maize,Austria,2018,7.4,I
Harvested irrigated temporary crop area: Other cereals,Austria,2012,8.5,I
Harvested irrigated temporary crop area: Other cereals,Austria,2017,8.5,I
Harvested irrigated temporary crop area: Other cereals,Austria,2018,8.5,I
Harvested irrigated temporary crop area: Potatoes,Austria,1997,4.54,I
Harvested irrigated temporary crop area: Potatoes,Austria,2002,4.34,I
Harvested irrigated temporary crop area: Potatoes,Austria,2007,3.42,I
Harvested irrigated temporary crop area: Potatoes,Austria,2012,3.2,I
Harvested irrigated temporary crop area: Potatoes,Austria,2017,3.2,I
Harvested irrigated temporary crop area: Potatoes,Austria,2018,3.2,I
